Nationality,Total
China,"88,389"
El Salvador,"45,292"
Guatemala,"33,927"
Honduras,"32,922"
Mexico,"32,322"
Ecuador,"28,292"
India,"19,053"
Dominican Republic,"16,171"
Bangladesh,"9,414"
Jamaica,"8,220"
Pakistan,"6,493"
Former Countries,"6,360"
Nepal,"6,242"
Colombia,"6,072"
Albania,"5,840"
Haiti,"4,458"
Guinea,"4,055"
Trinidad and Tobago,"3,695"
Russia,"3,590"
Canada,"3,482"
Guyana,"3,358"
Egypt,"3,084"
Peru,"3,024"
Indonesia,"2,646"
Sri Lanka,"2,625"
Nigeria,"2,353"
Venezuela,"2,337"
Cuba,"2,296"
Brazil,"2,264"
Ivory Coast (Cote D'ivoire),"2,205"
Ghana,"2,100"
Poland,"2,073"
Mali,"2,067"
Uzebekistan,"2,013"
Ukraine,"1,872"
Burkina Faso,"1,784"
Gambia,"1,713"
Mauritania,"1,573"
Turkey,"1,430"
Nicaragua,"1,370"
Romania,"1,366"
Israel,"1,344"
Senegal,"1,265"
Georgia,"1,246"
Sierra Leone,"1,170"
South Korea,"1,157"
Yemen,986
Philippines,970
Stateless - Alien Unable To Name A Country,851
Kosovo,851
Burma (Myanmar),731
Kazakhstan,725
Malaysia,624
Jordan,571
United Kingdom,558
Costa Rica,551
Grenada,534
Morocco,530
Kirghizia (Kyrgyzstan),526
Cameroon,515
Democratic Republic of Congo,500
Congo,479
Belarus,448
Liberia,446
Panama,442
Togo,441
Barbados,424
St. Lucia,408
Chile,407
Argentina,390
Moldavia (Moldova),389
Italy,382
Tajikistan (Tadzhik),369
St. Vincent and the Grenadines,364
Angola,359
Afghanistan,349
Vietnam,334
Serbia Montenegro,324
Belize,320
Macedonia,316
Lebanon,315
Byelorussia (Belarus),307
Niger,305
Armenia,302
Sudan,290
Azerbaijan,286
Hungary,271
Syria,265
Algeria,258
Iran,248
Dominica,247
Antigua and Barbuda,231
Bulgaria,220
Bolivia,215
Bhutan,213
Paraguay,209
Thailand,209
Kenya,209
Greece,204
Portugal,204
Germany,188
France,187
Turkmenistan,172
Taiwan,170
Bosnia-Herzegovina,167
Tunisia,167
Ethiopia,165
Burundi,162
Japan,162
Somalia,156
Montenegro,152
Chad,148
Spain,145
Czech Republic,145
Suriname,143
South Africa,142
Ireland,142
Iraq,141
Benin,138
Slovak Republic,135
Uruguay,130
Eritrea,127
Saudi Arabia,125
Unknown Nationality,123
Lithuania,123
Latvia,118
Hong Kong,114
Zimbabwe,113
Uganda,111
"St. Kitts, West Indies",100
Tanzania,100
Bahamas,94
Zambia,86
Australia,84
Central African Republic,84
Netherlands,63
Gabon,61
Croatia,59
Mongolia,53
Guinea Bissau,51
Czechoslovakia,51
Singapore,48
United Arab Emirates,46
Estonia,46
Kuwait,45
Rwanda,45
Laos,44
Sweden,44
North Korea,44
Palestine,41
Libya,40
Bermuda,40
Belgium,38
Djibouti,37
Cyprus,32
Cambodia,30
New Zealand,28
Malawi,27
Cape Verde,27
Guadeloupe,23
Turks and Caicos Islands,22
Switzerland,21
Slovenia,20
Zaire,19
Montserrat,19
Austria,19
Madagascar,18
Bahrain,16
Aruba,16
Seychelles,15
Mauritius,15
Oman,14
Kiribati,14
British Virgin Islands,14
Macau,12
Norway,12
Comoro Islands,12
Malta,12
Netherlands Antilles,12
Mozambique,12
Denmark,11
Holland,11
People's Republic of Benin,11
Equatorial Guinea,11
Niue,11
Qatar,10
St. Christopher-Nevis,10
Namibia,9
Tonga,8
Federated States of Micronesia,7
Fiji,7
Papua New Guinea,7
Botswana,7
Finland,6
Swaziland,5
Lesotho,5
Cayman Islands,5
South Sudan,4
Anguilla,4
New Caledonia,3
No Nationality,3
Upper Volta,3
The Republic of Palau,3
Iceland,3
Andorra,3
Brunei,2
Reunioun,2
The Republic of the Marshall Islands,2
Kampuchea,2
Midway Islands,2
Gaza Strip,2
San Marino,2
Western Sahara,2
Martinique,2
Cocos Island,1
Bouvet Island,1
Vanuatu,1
French Guiana,1
Falkland Islands,1
Faeroe Island,1
Be Removed From the United States,1
Gibraltar,1
Monaco,1
In Absentia/Unknown,1
Samoa,1
Christmas Islands,1
Nauru,1
French Polynesia,1
Luxembourg,1
Solomon Islands,1
