State,Deportation Cases
California,750292
Texas,693340
Florida,428456
New York,417956
Not Known,352193
Georgia,188051
New Jersey,172496
Arizona,126538
Virginia,126215
Louisiana,122609
Maryland,108740
Illinois,107241
Washington,104437
Massachusetts,101934
Pennsylvania,94256
Colorado,81547
North Carolina,76323
Foreign Address,60712
Ohio,55777
Tennessee,51695
Nevada,50473
Minnesota,45799
Michigan,45058
Missouri,43012
Connecticut,33592
Nebraska,32400
New Mexico,31178
Indiana,30407
Oklahoma,28414
Utah,25570
Alabama,24492
Kentucky,22972
South Carolina,22864
Oregon,21220
Kansas,20912
Iowa,16492
Rhode Island,15551
Arkansas,13824
Wisconsin,12870
District of Columbia,10871
Mississippi,10294
Puerto Rico,10015
Delaware,8239
Idaho,7844
New Hampshire,5763
Hawaii,5359
South Dakota,3593
Maine,3410
Wyoming,1348
Alaska,1317
North Dakota,1268
West Virginia,1152
Montana,948
Vermont,843
